,col2,NOME_DO_MUNICIPIO,POP_TOTAL,DOM_PART_PERM,DENSIDADE_POPULACAO_1000HAB_KM2,TX_IMOVEIS_VAGOS,PCT_DOM_CASA,PCT_DOM_APART,PCT_DOM_PROPR_QUITADO,PCT_DOM_PROPR_NAO_QUITADO,PCT_DOM_ALUGADO,NOME_DA_UF,municipio_UF,cleaned,code,string,value
350,2734,Aroazes,5827,1781,0.0070610674289914,14.467897977132804,99.4946659180236,0.4491858506457047,82.59404828747893,2.3582257158899496,3.08815272318922,PI,Aroazes PI,aroazes pi,2200905,aroazes pi,1.0
351,5360,Aroeiras,19116,6538,0.0508011132120541,20.92325447201385,99.84704802691957,0.0,82.21168553074334,0.2753135515448149,5.613337412052616,PB,Aroeiras PB,aroeiras pb,2501302,aroeiras pb,1.0
352,1648,Aroeiras do Itaim,2551,788,0.0098785452418242,16.651248843663275,98.22335025380713,1.7766497461928934,91.1167512690355,1.3959390862944163,1.6497461928934007,PI,Aroeiras do Itaim PI,aroeiras do itaim pi,2200954,aroeiras do itaim pi,1.0
353,4618,Arraial,4720,1386,0.0068834631970368,15.096359743040686,100.0,0.0,94.37229437229436,0.2164502164502164,1.9480519480519485,PI,Arraial PI,arraial pi,2201002,arraial pi,1.0
354,1138,Arraial do Cabo,30593,10360,0.1903991473716943,8.392319943372854,95.25096525096524,1.7277992277992278,75.13513513513513,1.3803088803088803,15.888030888030888,RJ,Arraial do Cabo RJ,arraial do cabo rj,3300258,arraial do cabo rj,1.0
355,4300,Arraias,10534,3766,0.0018133906730103,8.122588941277327,99.97344662772171,0.0,76.42060541688795,0.9559214020180564,7.116303770578863,TO,Arraias TO,arraias to,1702406,arraias to,1.0
356,1056,Arroio Grande,18238,7330,0.0072509264063249,11.25149765820717,99.1405184174625,0.6548431105047751,74.13369713506141,2.660300136425648,9.959072305593454,RS,Arroio Grande RS,arroio grande rs,4301305,arroio grande rs,1.0
357,2774,Arroio Trinta,3549,1374,0.0375695131266333,4.973474801061008,95.85152838427948,3.8573508005822417,74.96360989810772,5.749636098981076,12.08151382823872,SC,Arroio Trinta SC,arroio trinta sc,4201604,arroio trinta sc,1.0
358,2921,Arroio do Meio,20967,7941,0.1325726632129659,6.687102633969119,91.6005540863871,8.185367082231457,68.16521848633673,13.575116484070016,13.839566805188264,RS,Arroio do Meio RS,arroio do meio rs,4301008,arroio do meio rs,1.0
359,4319,Arroio do Padre,2951,917,0.0237179242300971,7.829534192269574,100.0,0.0,90.73064340239912,1.9629225736095963,1.1995637949836424,RS,Arroio do Padre RS,arroio do padre rs,4301073,arroio do padre rs,1.0
